company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Symphera,DE,surgical,https://symphera.io,,,Yes,https://www.eu-startups.com/2024/09/munich-based-medtech-symphera-secures-e2-4-million-to-streamline-surgical-procedures/,Munich TUM spinout 2023; push-button laparoscopic tool-switching system; EUR 2.4M seed,high
Medical Decision Alliance,DE,surgical,https://medical-decision-alliance.com,,,Yes,https://www.htgf.de/en/medical-decision-alliance-secures-3-million-in-seed-funding/,Leipzig; AI surgical-decision-support for robotic surgery; EUR 3.3M seed 2025,high
roclub,DE,radiotherapy positioning,https://www.roclub.com,,,Yes,https://www.eu-startups.com/2025/10/e10-million-boost-for-germanys-roclub-to-scale-ai-powered-remote-operations-in-medical-technology/,Berlin; teleoperation platform for remote MRI/CT operation; USD 11.7M Series A,high
Alba Robot,IT,assistive,https://alba-robot.com,,,Yes,https://www.i3p.it/en/startup/alba-robot,Turin; self-driving wheelchair for hospitals and elderly; I3P incubator; EUR 4.985M round,high
Palliare,IE,surgical,https://www.palliare.com,,,Yes,https://www.idaireland.com/latest-news/insights/,Galway; EVA15 insufflator + smoke-evac for laparoscopic/robotic surgery; FDA 510(k) + CE MDR,high
LUMA Vision,IE,surgical,https://lumavision.com,,,Yes,https://lumavision.com/,Dublin/Munich; VERAFEYE 4D cardiac imaging + navigation; Trinity College spin-out; Irish Medtech 2024 winner,high
Otivio,NO,rehab,https://www.otivio.com,,,Yes,https://www.norwayhealthtech.com/members/,Oslo; FlowOx Class IIa negative-pressure therapy for peripheral arterial disease; Norway Health Tech member,high
EpiGuard,NO,assistive,https://epiguard.com,,,Yes,https://www.norwayhealthtech.com/members/,Oslo; EpiShuttle single-patient isolation/transport system; CE Class I; Norway Health Tech member,high
Vilje Bionics,NO,rehab,https://viljebionics.com,,,Yes,https://www.norwayhealthtech.com/member/vilje-bionics-2/,Oslo; VilPower motorized full-arm exoskeleton for stroke rehab; Norway Health Tech member,high
InVivo Bionics,NO,assistive,https://www.invivo.io,,,Yes,https://www.norwayhealthtech.com/member/invivo-bionics-as/,Oslo SINTEF spin-off 2018; PRESSURO bladder pressure microsensor; Norway Health Tech member,high
ReCath,NL,endovascular,https://www.emrobotics.com,,,Yes,https://www.emrobotics.com/,Eindhoven; EMR subsidiary; Bluetooth steerable remote-controlled catheter,medium
Planificacion Quirurgica PQx,ES,surgical,https://planificacionquirurgica.com,,,Yes,https://planificacionquirurgica.com/en/the-company/,Spain; VEGA AR/VR surgical navigator for arthroscopy/arthroplasty/tumor; patented LCA One Step,high
SpineGuard,FR,surgical,https://www.spineguard.com,,,No,https://www.medicen.org/en/our-network/,Vincennes; PediGuard DSG real-time sensing pedicle screw probe; Euronext Growth listed so likely not SME,medium
Nordbo Robotics,DK,surgical,https://www.nordbo-robotics.com,,,Yes,https://www.odenserobotics.dk/members/nordbo-robotics/,Odense; robotic software for medical device finishing/inspection; Odense Robotics member,medium
NODE Robotics,DE,assistive,https://node-robotics.com,,,Yes,https://node-robotics.com/,Stuttgart 2020; NODE.OS AMR navigation integrated into Ceterio hospital medication/supply robots,medium
Auxsys,DE,assistive,https://www.auxsys.com,,,Yes,https://medlife-ev.de/en/start-up/auxsys-gmbh/,Aachen 2022; active full-body powered exoskeletons; dual-use for healthcare; MedLife-EV member,medium
Neurescue,DK,endovascular,https://www.neurescue.com,,,Yes,https://www.businesswire.com/news/home/20250909684331/en/NEURESCUE-Device-Secures-Historic-CE-Mark-Approval-for-NonShockable-Cardiac-Arrest-Treatment,Copenhagen; NEURESCUE computer-aided aortic occlusion balloon catheter; CE Mark 2025,medium
ab medica,IT,surgical,https://abmedica.it,,,No,https://i-rim.it/en/,Cerro Maggiore Milan; da Vinci distributor + HIFU/CyberKnife; large group likely not SME,low
