company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
TEDIRO,DE,physiotherapy-robot,https://tediro.com/,,,Yes,https://www.medica-tradefair.com/en/physio-tech/rehabilitation-robot-thery-gait-training,"Ilmenau/Leipzig Germany; THERY mobile gait-training robot; certified medical device",high
Caranx Medical,FR,cardiovascular-robot,https://www.caranxmedical.com/,,,No,https://www.investincotedazur.com/en/caranx-medical-innovates-in-robotic-assisted-heart-valve-implantation/,"Nice France; robotic-assisted TAVI + TAVIPILOT AI software; acquired Dec 2025 by Affluent Medical into Carvolix - no longer independent",medium
Japet Medical Devices,FR,rehab-exoskeleton,https://www.japet.eu/,,,Yes,https://exoskeletonreport.com/exoskeleton-companies-and-organizations-directory/japet/,"Lille France founded 2016; Japet.W+ CE-marked class IIa motorized lumbar exoskeleton for back pain",high
Perceive3D,PT,surgical-navigation-robot,https://perceive3d.com/,,,Yes,https://www.foundernest.com/insights/13-funded-companies-in-the-robotic-surgery-and-minimally-invasive-techniques-space,"Coimbra Portugal founded 2013; Univ Coimbra spin-off; video-based surgical navigation (computer vision + AR) for ortho",medium
SpinEM Robotics,FR,spine-surgery-robot,https://spinem-robotics.com/,,,Yes,https://blog.smarttrak.com/three-global-spine-robotics-start-ups-to-watch-in-2024,"Saint-Martin d'Heres (Grenoble) France founded 2021; robotic-assisted spine surgery without line-of-sight tracking; €10M Series A2 with Spineart",high
Rex Bionics,GB,rehab-exoskeleton,https://www.rexbionics.com/,,,unknown,https://www.rexbionics.com/,"REX hands-free standing/walking exoskeleton; founded in NZ but UK-based operations for clinical/personal use",medium
Bioservo Technologies,SE,hand-assistive-robot,https://www.bioservo.com/,,,unknown,https://www.bioservo.com/,"Kista Sweden; Carbonhand soft robotic glove CE-marked medical assistive device for grip deficiency; listed Nasdaq First North - small cap",medium
Fundamental Surgery,GB,surgical-training-haptics,https://fundamentalsurgery.com/,,,Yes,https://ukhealthcarepavilion.com/companies/fundamental-surgery/,"London UK founded 2012 (FundamentalVR); HapticVR surgical training platform with haptic hardware component",medium
German Bionic,DE,healthcare-worker-exoskeleton,https://www.germanbionic.com/,,,unknown,https://orthexo.de/en/exoskeleton-manufacturer/,"Augsburg Germany; Apogee+ and Exia powered exoskeletons targeting nursing/healthcare workforce ergonomics",medium
Corin Group,GB,orthopedic-robot,https://www.coringroup.com/,,,No,https://surgicoll.scholasticahq.com/article/132487-advancements-in-robotic-orthopaedic-surgery-a-current-concept,"Cirencester UK; OMNIBotics & Apollo robotic-assisted knee replacement; Permira-backed global orthopedic firm - likely >250 staff",medium
Renishaw Neurosurgery,GB,neurosurgery-robot,https://www.renishaw.com/en/neuromate-stereotactic-robot-for-neurosurgery--48606,,,No,https://www.surgicalroboticstechnology.com/news/renishaw-secures-mdr-product-approval-for-neuromate-stereotactic-robot/,"neuromate stereotactic robot (DBS/SEEG/biopsy); MDR-approved; Renishaw plc is large UK listed engineering firm - not SME",high
Mauna Kea Technologies,FR,surgical-imaging-robot,https://www.maunakeatech.com/,,,No,https://www.medicalstartups.org/top/robotics/,"Paris France; Cellvizio probe CE-marked for robotic-assisted surgery; Euronext listed - not SME scale",medium
Co-Robotics,IT,assistive-robot,https://www.corobotics.eu/,,,Yes,https://www.santannapisa.it/en/institute/biorobotics,"Pisa Italy; Scuola Superiore Sant'Anna BioRobotics spin-off; collaborative assistive robotics for ageing population",low
Endocontrol,FR,laparoscopy-robot,https://www.endocontrol-medical.com/,,,No,https://www.crunchbase.com/organization/endocontrol,"La Tronche France; ViKY endoscope positioner & JAIMY instrument; acquired by Canady Life Sciences (US) in 2019",medium
Idrogenet (Gloreha),IT,hand-rehab-robot,https://www.gloreha.com/,,,No,https://www.gloreha.com/,"Lumezzane Brescia Italy; Gloreha Sinfonia robotic glove for hand rehab; acquired by BTL Industries - no longer independent",high
Motek Medical,NL,rehab-robot,https://www.motekmedical.com/,,,unknown,https://www.motekmedical.com/,"Amsterdam Netherlands; CAREN/GRAIL instrumented treadmill & gait analysis robotic platforms; part of DIH Medical (Hocoma group)",medium
Virtualware,ES,rehab-VR-robotics,https://www.virtualwaregroup.com/,,,unknown,https://www.digitaljournal.com/pr/virtual-rehabilitation-and-telerehabilitation-systems-market-share-2022-growth-challenges-opportunities-and-future-trends-2030-brontes-processing-motekforce-link-virtualware-group-motorika-bridg,"Bilbao Spain; VirtualRehab platform with sensor-based rehab hardware for neurological patients",low
Artedrone,FR,neurovascular-microrobot,https://www.artedrone.com/,,,No,https://www.businesswire.com/news/home/20250416672534/en/Artedrone-Successfully-Demonstrates-the-Ability-to-Autonomously-Perform-End-to-End-Mechanical-Thrombectomy-in-Various-Preclinical-Studies-With-the-Revolutionary-SASHA-Autonomous-Micro-Robotic-Solution,"Paris France; Sasha autonomous microrobotic system for mechanical thrombectomy; acquired by Affluent Medical in 2025 forming Carvolix - not independent",high
Exopulse (Inerventions),SE,neurostimulation-wearable,https://exopulse.com/,,,No,https://www.ottobock.com/en-ex/orthotics/neuromobility/exopulse-b2c,"Danderyd Sweden founded 2009 (formerly Inerventions AB); Mollii Suit full-body neurostimulation wearable; acquired by Ottobock (large German group)",medium
Spineart,CH,spine-surgery-robot,https://www.spineart.com/,,,No,https://www.spineart.com/company/our-company/,"Geneva Switzerland founded 2005; spine implant manufacturer developing robotic guidance tools; 370+ employees (not SME)",medium
Mentice,SE,endovascular-simulation,https://www.mentice.com/,,,No,https://www.mentice.com/,"Gothenburg Sweden; VR endovascular simulator with haptic catheter hardware for interventional training; listed Nasdaq First North - >150 staff",medium
Reha Technology,CH,rehab-gait-robot,https://www.rehatechnology.com/,,,unknown,https://blog.technavio.org/blog/top-15-rehabilitation-robotics-companies,"Olten Switzerland; end-effector-based gait therapy robotic devices (G-EO); distributed by DIH Medical group",medium
SurgeonsLab,CH,surgical-training-haptics,https://surgeonslab.com/,,,Yes,https://surgeonslab.com/,"Switzerland; all-in-one neurosurgical training simulator with realistic haptic instruments; deployed at Italian hospitals",low
Neuroelectrics,ES,brain-stimulation-device,https://www.neuroelectrics.com/,,,unknown,https://www.neuroelectrics.com/,"Barcelona Spain founded 2011; Starlab spin-off; Starstim/Enobio wearable brain stimulation & EEG monitoring devices - borderline robotics (hardware yes; active motion no)",low
