company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
Neurobit Systems,PL,neuro/biofeedback,https://www.neurobitsystems.com,,,Yes,https://www.neurobitsystems.com/,Warsaw-based hardware for EEG/HRV/GSR biofeedback and neurofeedback therapy devices,medium
TESCAN Medical / TecuMed,CZ,surgical/neurosurgery,https://www.tecumed.com,,,Yes,https://www.tecumed.com/en/about-us/,Brno-based medical device hardware (former TESCAN Medical) for neurosurgery maxillofacial oncology traumatology; BUT spin-off,medium
BTL Industries,CZ,rehab/physiotherapy,https://www.btlnet.com,,,No,https://www.btlnet.com/rehabilitation-orthopedic,Prague-based manufacturer of physical therapy rehabilitation hardware (shockwave laser electrotherapy); likely exceeds SME,medium
ROBOTSYSTEM,CZ,assistive/transport,https://www.robotsystem.cz,,,Yes,https://www.robotsystem.cz/en/,Ostrava-based developer of multifunctional transport and rehabilitation robotic stretchers and smart walkers,medium
Medicem Group,CZ,surgical/ophthalmology,https://www.medicem.com,,,Yes,https://www.medicem.com/,Kamenne Zehrovice-based biomedical company making hydrogel intraocular lenses and Dilapan-S cervical ripening device,medium
Carebot,CZ,imaging/diagnostic hardware,https://www.carebot.com,,,Yes,https://www.carebot.com/,Prague-based MDR IIa-certified AI radiology platform; partially hardware-adjacent imaging workflow,low
Powerful Medical,SK,diagnostic/cardiology,https://www.powerfulmedical.com,,,Yes,https://www.powerfulmedical.com/,Samorin-based PMcardio platform for ECG interpretation; EIC Accelerator and IPCEI-funded; hardware-adjacent device,low
MultiplexDX,SK,lab automation/diagnostics,https://www.multiplexdx.com,,,Yes,https://www.multiplexdx.com/,Bratislava-based RNA FISH + RNAseq cancer diagnostics hardware/reagent platform; first Slovak EIC Accelerator awardee,low
Asvel,EE,surgical/endoscopy,https://www.asvel.ee,,,Yes,https://www.asvel.ee/,Tallinn-based (TalTech-affiliated) AI-powered robotic endoscopy system for minimally invasive procedures,high
BirgerMind,LV,neuro/BCI,https://birgermind.com,,,Yes,https://birgermind.com/,Riga-based non-invasive brain-computer interface headset for ALS and MND patients; aids communication,high
Vilimed,LT,neuro/Parkinson,https://vilimed.com,,,Yes,https://vilimed.com/,Kaunas-based MDR IIa-certified VILIM ball with AI-controlled vibrational therapy for essential tremor/Parkinson's,high
Ligence,LT,imaging/cardiology,https://ligence.io,,,Yes,https://ligence.io/,Vilnius-based AI echocardiography analysis (first ultrasound AI with new CE mark); deployed as imaging companion device,medium
ORamaVR,GR,surgical/training,https://oramavr.com,,,Yes,https://oramavr.com/,Heraklion-founded (FORTH spin-off) medical VR surgical training platform; HQ relocated Geneva; borderline hardware,low
Kelvin Health,BG,imaging/diagnostics,https://www.kelvin.health,,,Yes,https://www.kelvin.health/,Sofia-based mobile AI thermal imaging for vascular disease and cancer screening; smartphone thermal camera hardware,medium
ProsFit Technologies,BG,prosthetics,https://prosfit.com,,,Yes,https://prosfit.com/,Sofia-based digital 3D-printed prosthetic socket platform (PandoFit); decentralised fitting hardware/software,high
NewIcon,FI,pharmacy automation,https://newicon.fi,,,Yes,https://newicon.fi/,Kuopio-based pharmacy and hospital medication dispensing/storage robots (Iso-Fixu Mega-Fixu eMED IV ICON),high
Furhat Robotics,SE,social/service,https://www.furhatrobotics.com,,,Yes,https://www.furhatrobotics.com/use-cases-and-concepts/healthcare-robot,Stockholm-based (KTH spin-off) conversational social humanoid robot; deployed for healthcare pre-screening mental health triage,medium
Medirob,SE,imaging/tele-ultrasound,https://www.medirob.com,,,Yes,https://www.medirob.com/en/,Skelleftea-based 6-DOF tele-robotic ultrasound arm for remote echocardiography,medium
Biodevices,PT,remote monitoring,https://www.biodevices.pt,,,Yes,https://www.biodevices.pt/en/,Aveiro-based wearable VitalJacket ECG Holter hardware and biomedical engineering solutions,medium
Nami Surgical,GB,surgical/ultrasonic,https://www.namisurgical.com,,,Yes,https://www.namisurgical.com/,Glasgow-based (Univ of Glasgow spin-out) miniaturised ultrasonic scalpels for robotic-assisted surgery; Innovate UK grant,high
