company,country,sub_domain,website,email,email_type,sme_likely,source_url,notes,confidence
RB3D,FR,exoskeleton,https://www.rb3d.com,,,Yes,https://exoskeletonreport.com/exoskeleton-companies-and-organizations-directory/rb3d/,French exoskeleton maker; musculoskeletal-injury assistance,medium
BEC GmbH,DE,surgical,https://www.bec-robotics.com,,,Yes,https://gesundheitstechnologien.ipa.fraunhofer.de/en/our_projects/guidoo.html,Fraunhofer IPA partner; Pfullingen; guidoo biopsy robot,high
Reactive Robotics,DE,rehab/ICU,https://www.reactive-robotics.com,info@reactive-robotics.com,generic,Yes,https://www.nks-eic-accelerator.de/en/success-story-reactive-robotics-665.php,Munich; EIC Accelerator; VEMOTION ICU mobilization robot,high
German Bionic,DE,exoskeleton,https://www.germanbionic.com,,,Yes,https://ensun.io/search/exoskeleton/germany,Augsburg; active exoskeletons incl healthcare lifting,medium
Tyromotion,AT,rehab,https://tyromotion.com,,,Yes,https://eu-robotics.net/,Graz; technology-supported therapy devices (Amadeo Diego),high
Nanoflex Robotics,CH,endovascular,https://nanoflexrobotics.com,,,Yes,https://www.wysszurich.ch/projects/nanoflex,ETH Zurich/Wyss spin-off; magnetic endovascular robot for stroke,high
Hocoma,CH,rehab,https://www.hocoma.com,,,No,https://eu-robotics.net/,Volketswil; Lokomat gait rehab; part of DIH (large scale-up),high
Intento,CH,rehab/neurostim,https://www.intento.ch,,,Yes,https://cnbi.epfl.ch/news/page-121574-en-html/,EPFL spin-off Lausanne; wearable neuroprosthesis for stroke,high
TWIICE,CH,exoskeleton,https://twiice.ch,,,Yes,https://www.venturelab.swiss/TWIICE,EPFL lower-limb exoskeleton for SCI; Swiss clinical use,medium
Sensars Neuroprosthetics,CH,neuroprosthesis,https://www.sensars.com,,,Yes,https://eithealth.eu/news-article/sensars-neuroprosthetics-the-future-of-nerve-stimulation/,EPFL spin-off Lausanne; SENSY implantable for diabetic neuropathy,high
BioServo Technologies,SE,rehab/exoskeleton,https://www.bioservo.com,,,Yes,https://digital-strategy.ec.europa.eu/en/news/bioservo-technologies-gives-humans-robotic-super-strength-cyborgs,KTH/Karolinska spin-off; Carbonhand CE-MDR grip glove,high
Corin,UK,surgical,https://www.coringroup.com,,,No,https://www.smith-nephew.com/en-gb/health-care-professionals/products/orthopaedics/cori,Cirencester; Apollo/OMNIBotics orthopaedic robot (mid-large),medium
